term1	senset1	sentencet1	classt1	term2	senset2	sentencet2	classt2	which_is_more_emotional
tug	tug#v#2	She <b>tugged</b> for years to make a decent living	metaphorical	tug	tug#v#6	Each oar was <b>tugged</b> by several men	literal	the focus word conveys more emotion in the first sentence
salute	salute#v#4	a terrible stench <b>saluted</b> our nostrils	metaphorical	salute	salute#v#6	"When the officers show up, the soldiers have to <b>salute</b>"	literal	the focus words in the two sentences convey a similar degree of emotion
reflect	reflect#v#6	His lack of interest in the project <b>reflects</b> badly on him	metaphorical	reflect	reflect#v#5	her sunglasses <b>reflected</b> his image	literal	the focus word conveys more emotion in the first sentence
glow	glow#v#4	Make the people's hearts <b>glow</b>	metaphorical	glow	glow#v#1	The fireflies were <b>glowing</b> and flying about in the garden	literal	the focus word conveys more emotion in the first sentence
attack	attack#v#5	I <b>attacked</b> the problem as soon as I got out of bed	metaphorical	attack	attack#v#1	"Hitler <b>attacked</b> Poland on September 1, 1939 and started World War II"	literal	the focus words in the two sentences convey a similar degree of emotion
infect	infect#v#3	society was <b>infected</b> by racism	metaphorical	infect	infect#v#1	Your children have <b>infected</b> you with this head cold	literal	the focus word conveys more emotion in the first sentence
clap	clap#v#1	The judge <b>clapped</b> him in jail	metaphorical	clap	clap#v#4	The children were <b>clapping</b> to the music	literal	the focus words in the two sentences convey a similar degree of emotion
stagger	stagger#v#4	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	metaphorical	stagger	stagger#v#3	The architect decided to <b>stagger</b> the chairs in the lecture hall.	literal	the focus word conveys more emotion in the first sentence
mold	mold#v#5	The dress <b>molds</b> her beautiful figure	metaphorical	mold	mold#v#2	The furniture <b>molded</b> in the old house	literal	the focus word conveys more emotion in the first sentence
blast	blast#v#1	She tended to <b>blast</b> when speaking into a microphone	metaphorical	blast	blast#v#6	<b>blast</b> a tunnel through the Alps	literal	the focus words in the two sentences convey a similar degree of emotion
melt	melt#v#6	her resistance <b>melted</b> under his charm	metaphorical	melt	melt#v#2	The sun <b>melted</b> the ice	literal	the focus word conveys more emotion in the first sentence
lighten	lighten#v#3	"after a glass of wine, he <b>lightened</b> up a bit"	metaphorical	lighten	lighten#v#5	The room <b>lightened</b> up	literal	the focus word conveys more emotion in the first sentence
climb	climb#v#3	Sales were <b>climbing</b> after prices were lowered	metaphorical	climb	climb#v#1	Did you ever <b>climb</b> up the hill behind your house?	literal	the focus words in the two sentences convey a similar degree of emotion
drown	drown#v#1	I was <b>drowned</b> in work	metaphorical	drown	drown#v#4	He <b>drowned</b> the kittens	literal	the focus word conveys more emotion in the first sentence
inject	inject#v#2	He <b>injected</b> new life into the performance	metaphorical	inject	inject#v#1	We <b>injected</b> the glucose into the patient's vein	literal	the focus word conveys more emotion in the first sentence
nod	nod#v#4	the flowers were <b>nodding</b> in the breeze	metaphorical	nod	nod#v#2	The teacher <b>nodded</b> when the student gave the right answer	literal	the focus words in the two sentences convey a similar degree of emotion
drown	drown#v#2	She <b>drowned</b> her trouble in alcohol	metaphorical	drown	drown#v#4	He <b>drowned</b> the kittens	literal	the focus word conveys more emotion in the first sentence
deflate	deflate#v#4	The new measures <b>deflated</b> the economy	metaphorical	deflate	deflate#v#6	The balloons <b>deflated</b>	literal	the focus words in the two sentences convey a similar degree of emotion
relax	relax#v#7	The rules <b>relaxed</b> after the new director arrived	metaphorical	relax	relax#v#2	<b>relax</b> the tension on the rope	literal	the focus words in the two sentences convey a similar degree of emotion
crush	crush#v#5	She was <b>crushed</b> by his refusal of her invitation	metaphorical	crush	crush#v#8	The plastic bottle <b>crushed</b> against the wall	literal	the focus word conveys more emotion in the first sentence
drift	drift#v#4	stock prices are <b>drifting</b> higher	metaphorical	drift	drift#v#10	snow <b>drifting</b> several feet high	literal	the focus words in the two sentences convey a similar degree of emotion
blast	blast#v#1	She tended to <b>blast</b> when speaking into a microphone	metaphorical	blast	blast#v#7	the gunman <b>blasted</b> away	literal	the focus word conveys more emotion in the second sentence
drown	drown#v#2	She <b>drowned</b> her trouble in alcohol	metaphorical	drown	drown#v#3	The child <b>drowned</b> in the lake	literal	the focus words in the two sentences convey a similar degree of emotion
rail	rail#v#8	They are <b>railing</b> for fresh fish	metaphorical	rail	rail#v#7	hundreds of miles were <b>railed</b> out here	literal	the focus words in the two sentences convey a similar degree of emotion
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#9	This may <b>answer</b> her needs	literal	the focus word conveys more emotion in the second sentence
shower	shower#v#1	He was <b>showered</b> with praise	metaphorical	shower	shower#v#2	The guests <b>showered</b> rice on the couple	literal	the focus word conveys more emotion in the first sentence
plunge	plunge#v#5	The professor <b>plunged</b> his students into the study of the Italian text	metaphorical	plunge	plunge#v#6	It <b>plunged</b> to the bottom of the well	literal	the focus word conveys more emotion in the first sentence
mold	mold#v#5	The dress <b>molds</b> her beautiful figure	metaphorical	mold	mold#v#4	She <b>molded</b> the rice balls carefully	literal	the focus word conveys more emotion in the first sentence
land	land#v#3	this may <b>land</b> you in jail	metaphorical	land	land#v#6	The ship <b>landed</b> in Pearl Harbor	literal	the focus words in the two sentences convey a similar degree of emotion
leak	leak#v#2	The news <b>leaked</b> out despite his secrecy	metaphorical	leak	leak#v#3	Water <b>leaked</b> out of the can into the backpack	literal	the focus words in the two sentences convey a similar degree of emotion
wear	wear#v#3	He always <b>wears</b> a smile	metaphorical	wear	wear#v#5	<b>wear</b> one's hair in a certain way	literal	the focus word conveys more emotion in the first sentence
melt	melt#v#4	Hundreds of actors were <b>melting</b> into the scene	metaphorical	melt	melt#v#1	The wax <b>melted</b> in the sun	literal	the focus word conveys more emotion in the first sentence
answer	answer#v#10	The steering of my new car <b>answers</b> to the slightest touch	metaphorical	answer	answer#v#7	A few words would <b>answer</b>	literal	the focus words in the two sentences convey a similar degree of emotion
relax	relax#v#7	The rules <b>relaxed</b> after the new director arrived	metaphorical	relax	relax#v#5	our new colleague <b>relaxed</b> when he saw that we were a friendly group	literal	the focus words in the two sentences convey a similar degree of emotion
gag	gag#v#1	The press was <b>gagged</b>	metaphorical	gag	gag#v#3	The burglars <b>gagged</b> the home owner and tied him to a chair	literal	the focus word conveys more emotion in the second sentence
tug	tug#v#2	She <b>tugged</b> for years to make a decent living	metaphorical	tug	tug#v#5	The horse finally <b>tugged</b> the cart out of the mud	literal	the focus word conveys more emotion in the first sentence
reflect	reflect#v#7	The mess in his dorm room <b>reflects</b> on the student	metaphorical	reflect	reflect#v#4	Drive carefully--the wet road <b>reflects</b>	literal	the focus word conveys more emotion in the first sentence
nod	nod#v#4	the flowers were <b>nodding</b> in the breeze	metaphorical	nod	nod#v#5	The old man sat <b>nodding</b> by the fireplace	literal	the focus words in the two sentences convey a similar degree of emotion
